Contour,Area,Aspect Ratio,x-centroid,y-centroid,x-size,y-size,Path Length,Normalized Curvature,trainModel (normalized mode 1),trainModel (normalized mode 2),trainModel (normalized mode 3),trainModel (normalized mode 4)
p0,9456.15,1.23957,56.0012,57.6167,126.984,102.442,381.794,145.185,-1.06912,0.057533,-0.334251,0.360623
p1,10349.9,1.10005,60.2499,60.7624,122.917,111.737,386.263,122.353,-0.799892,-0.663614,0.173243,0.0396021
p10,15601.1,1.29044,87.0138,68.342,171.002,132.514,548.807,128.767,1.03862,0.863038,0.334154,0.471748
p100,15725.9,1.13473,76.5455,72.7719,153.424,135.207,472.278,103.101,0.966318,-1.00889,-0.350191,-0.68283
p1000,13155.1,1.5512,87.0409,64.4265,172.733,111.355,477.962,126.683,0.507825,1.67778,-1.98671,0.163917
p10000,16083.5,0.997717,76.8435,83.5745,151.448,151.794,509.516,117.485,1.03796,-0.953961,1.39988,0.251024
p10001,10149.6,1.09417,56.5463,63.3015,122.898,112.321,381.95,112.429,-0.858147,-0.490696,-0.00306546,0.34123
p10002,13498.5,1.08914,68.9627,68.7734,143.965,132.182,461.462,107.466,0.29115,-0.727985,-0.3436,-0.282247
p10003,12542.8,1.09592,63.2093,64.2797,135.274,123.434,427.692,124.409,-0.0371133,-0.692892,0.253353,-0.519793
p10004,10373.3,1.24369,69.8752,59.9083,137.143,110.271,402.501,90.435,-0.659476,0.247455,-0.503335,1.13405
p10005,11914.2,1.08079,64.9293,65.0769,130.753,120.979,416.421,124.663,-0.244387,-0.725362,0.193499,0.246019
p10006,9479.43,1.15345,58.0766,58.2457,123.729,107.268,413.313,119.695,-1.11942,0.133405,-0.182287,-0.312581
p10007,19108,1.12596,78.9328,88.0086,173.543,154.129,591.17,124.71,1.87671,0.366206,1.57032,0.168755
p10008,10529,1.16108,61.3153,63.832,134.343,115.706,429.968,113.449,-0.739458,1.58534,1.906,-1.5184
p10009,13912.9,1.02206,70.5471,75.8451,142.199,139.13,451.285,108.559,0.39716,-0.829979,0.559493,0.290934
p1001,16201.1,1.09081,75.1086,75.4689,158.138,144.974,493.408,133.553,1.13474,-0.641379,0.193298,-0.438009
