Contour,Area,Aspect Ratio,x-centroid,y-centroid,x-size,y-size,Path Length,Normalized Curvature,trainModel (normalized mode 1),trainModel (normalized mode 2),trainModel (normalized mode 3),trainModel (normalized mode 4)
q0,10633.5,1.12111,63.4536,63.7704,125.184,111.661,396.889,129.981,-0.660956,-0.389681,-0.0535545,-0.0970947
q1,14621.5,1.42592,70.9762,85.525,167.662,117.582,471.155,98.552,0.815466,0.547896,-1.24276,0.463037
q10,11117,1.03555,66.2981,64.8454,123.845,119.593,406.08,153.531,-0.527933,-0.77909,0.394271,0.885657
q100,13930.3,1.13693,69.4877,75.8376,147.228,129.496,461.18,117.264,0.430983,-0.745782,-0.28774,-0.393156
q1000,18203.5,1.13515,81.6485,72.5212,169.667,149.466,493.948,54.4765,1.72118,-0.532189,0.328201,-0.790839
q1001,15217.3,1.05067,76.3006,77.5759,148.167,141.021,486.951,96.6425,0.81431,-0.887385,0.350916,-0.0329299
q1002,14219,1.07077,71.8766,75.5098,151.386,141.38,483.513,95.5627,0.506658,-0.664421,0.640117,-0.368586
q1003,10312.3,1.2305,59.5837,60.4342,128.422,104.365,389.797,126.563,-0.743942,-0.0994067,-0.709306,0.0305783
q1004,10992.6,1.2352,65.085,57.7139,134.923,109.231,401.972,112.935,-0.476319,0.118704,-0.46231,0.0576968
q1005,11958.1,0.995162,86.6353,62.7935,148.374,149.096,594.304,103.657,-0.607676,3.01749,7.12533,-2.21215
q1006,12903.3,1.08419,66.9094,66.9823,140.178,129.293,446.303,129.43,0.0869253,-0.856532,-0.129827,-0.301823
q1007,14580.4,1.08725,72.2185,73.3687,144.579,132.977,479.068,110.31,0.61709,-0.827278,0.303782,-0.0952838
q1008,12223.1,1.10514,68.68,62.4593,133.996,121.248,427.404,99.2685,-0.101023,-0.431201,-0.114288,0.210544
q1009,13115.7,1.20057,63.9217,89.2447,161.473,134.497,536.094,197.053,0.320846,0.905719,1.66062,4.12687
q101,14487.6,1.07383,77.4656,67.4992,152.423,141.943,476.702,103.531,0.634392,-0.555842,-0.138168,0.470949
