Contour,Area,Aspect Ratio,x-centroid,y-centroid,x-size,y-size,Path Length,Normalized Curvature,trainModel (normalized mode 1),trainModel (normalized mode 2),trainModel (normalized mode 3),trainModel (normalized mode 4)
u0,10790.4,1.15841,56.8612,66.4049,126.805,109.465,397.035,139.136,-0.600439,-0.373563,-0.418166,0.00307601
u1,13653.6,1.62432,76.7506,77.2881,167.689,103.237,469.23,107.375,0.675265,1.78349,-2.28161,-0.807767
u10,16125.8,1.14438,87.7784,81.0213,167.178,146.086,573.459,328.88,1.04584,0.830746,2.84811,-3.19591
u100,9903.06,1.17454,60.492,65.143,130.012,110.692,394.598,110.651,-0.904413,-0.25429,-0.315584,0.403902
u1000,9120.11,1.08296,60.7876,54.4629,113.418,104.73,365.552,103.323,-1.23944,-0.445082,-0.181708,0.29866
u10000,11290.5,1.10633,60.3345,72.6119,133.715,120.864,425.717,99.2761,-0.437935,-0.586102,0.268434,0.908176
u10001,14180,1.17727,64.8615,71.0998,150.726,128.031,447.255,92.7588,0.569171,-0.201345,0.069896,-0.17006
u10002,11108.1,1.12494,59.0413,65.9725,128.83,114.522,402.919,127.577,-0.519775,-0.643006,-0.170665,-0.21839
u10003,13725,1.09446,72.7413,65.7376,140.522,128.394,436.15,97.1349,0.365851,-0.762744,-0.117409,-0.333234
u10004,11657.8,1.09686,61.8921,62.799,128.997,117.606,408.994,129.251,-0.329453,-0.618722,-0.00544644,-0.359955
u10005,13326.9,1.05878,67.1006,74.8153,138.512,130.822,447.337,108.303,0.240471,-0.76382,-0.0711064,-0.145144
u10006,10426.7,1.06654,59.5023,59.9364,121.155,113.596,379.383,91.4899,-0.775457,-0.756744,-0.144734,-0.0199757
u10007,16656.7,1.05262,74.4721,76.0247,153.528,145.853,479.07,87.4491,1.21066,-1.04241,0.766908,0.223028
u10008,14864.8,1.14036,75.6587,66.931,148.367,130.105,451.81,97.0684,0.720794,-0.810203,-0.485239,0.0401475
u10009,12278,1.16028,61.623,69.3601,137.354,118.38,422.172,125.191,-0.0884967,-0.518984,-0.486736,0.0338405
u1001,12577.5,1.25219,69.7023,82.9703,153.849,122.864,514.44,46057.2,-0.0206558,0.0797818,0.0632359,-3.58224
u10010,14185.3,1.26759,65.4274,75.8348,156.409,123.391,461.747,99.3863,0.583192,0.307183,-0.402995,-0.759462
u10011,10040.7,1.27283,59.4803,63.1715,131.791,103.542,385.797,134.843,-0.819398,0.206742,-0.869469,-0.000657444
u10012,14168.5,1.58642,77.1516,117.783,212.264,133.801,602.807,117.165,1.31197,3.76052,-0.32015,3.71763
u10013,14126.6,1.07011,73.1373,67.5809,142.448,133.115,444.419,93.0598,0.471549,-0.888303,0.276605,0.044179
u10014,12205,1.06418,62.9985,61.8905,132.01,124.049,415.306,99.2264,-0.17029,-0.991276,0.266084,0.0928277
u10015,9583.79,1.63916,66.2277,64.0145,144.171,87.9542,405.836,109.853,-0.753018,1.8377,-1.87974,-0.897154
