Contour,Area,Aspect Ratio,x-centroid,y-centroid,x-size,y-size,Path Length,Normalized Curvature,trainModel (normalized mode 1),trainModel (normalized mode 2),trainModel (normalized mode 3),trainModel (normalized mode 4)
v0,10639.6,1.18442,61.4215,55.8133,128.806,108.75,391.17,114.268,-0.649428,-0.325381,-0.518407,-0.07369
v1,12237,1.20886,69.7656,61.307,138.755,114.781,413.835,88.3426,-0.081662,-0.316887,-0.588216,-0.456429
v10,6074.59,1.1761,41.6275,46.879,98.4961,83.7483,297.174,100.511,-2.52464,-0.0318671,-0.508377,0.222684
v100,11575.1,1.07867,67.3947,62.8862,130.812,121.272,409.908,142.128,-0.359467,-0.760579,-0.0792502,-0.149823
v1000,14433.8,1.3552,80.7163,68.1113,160.113,118.147,466.615,115.086,0.709446,0.266033,-1.21999,-0.53106
v1001,9512.85,1.06333,57.2539,58.7811,116.946,109.981,366.494,93.7282,-1.10292,-0.512647,0.395298,0.83783
v1002,14942.2,1.23013,80.4591,65.7844,158.599,128.929,455.12,96.2179,0.799316,-0.398556,-0.781791,-0.294437
v1003,12535,1.07402,65.8279,69.4814,134.028,124.791,422.575,112.664,-0.0449641,-0.75563,0.304099,0.00125408
v1004,16724.3,1.05411,78.3124,76.3719,155.72,147.727,496.691,106.074,1.28146,-0.829292,0.207753,-0.766154
v1005,15158.8,1.12546,72.2363,75.8381,151.028,134.192,468.801,87.3524,0.813658,-0.753895,-0.356506,-0.209144
v1006,11320.4,1.11545,58.6451,65.0031,129.678,116.256,394.745,86.0486,-0.427591,-0.521629,-0.0741497,-0.242758
v1007,10027.2,1.1625,58.0718,57.172,125.683,108.114,396.308,126.604,-0.876029,-0.163842,-0.183102,-0.312016
v1008,9874.35,1.19503,58.4076,58.8789,129.034,107.976,410.579,133.919,-0.985588,0.0599997,-0.100245,1.27142
v1009,9616.54,1.46549,71.6305,53.6994,141.727,96.7097,402.432,109.584,-0.83554,1.47768,-1.42032,-0.886318
v101,10291.3,1.37381,73.9549,74.5332,146.18,106.405,470.581,93.2817,-0.622414,1.91101,0.845808,2.22574
v1010,13977.6,1.05635,67.7946,64.9935,143.272,135.629,460.814,122.106,0.414343,-0.986951,-0.0547982,-0.223377
v1011,12328,1.00332,63.6203,64.2151,126.149,125.731,410.773,78.6309,-0.135894,-1.07704,0.449516,-0.281887
v1012,11795.1,1.19879,57.7596,72.2354,136.939,114.231,411.405,98.8856,-0.223628,-0.24603,-0.652695,-0.199626
v1013,13102,1.25454,56.7267,79.4859,147.572,117.631,438.601,93.5728,0.244684,-0.0910949,-0.721685,-0.538376
v1014,15150.9,1.21211,65.4555,80.3255,158.681,130.913,466.921,99.1934,0.872375,-0.215132,-0.532524,0.290058
v1015,6444.71,1.01887,46.2545,45.6004,92.8889,91.1687,304.296,112.238,-2.40605,-0.524518,-0.00381006,0.327331
v1016,8787.39,1.1509,49.8511,62.9902,117.075,101.725,384.762,190.923,-1.32532,0.188247,0.0835109,0.798824
