Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized),Mode 5 (normalized),Mode 6 (normalized),Mode 7 (normalized),Mode 8 (normalized)
p0,-1.06912,0.0575332,-0.334251,0.360623,-0.0311551,0.156969,0.0946354,-0.221554
p1,-0.799892,-0.663614,0.173243,0.0396024,0.24398,-0.157479,0.24373,0.174975
p10,1.03862,0.863038,0.334154,0.471748,-0.464754,2.45002,-0.737487,-1.25184
p100,0.966318,-1.00889,-0.350191,-0.68283,-0.233792,0.115152,-0.176693,-0.337351
p1000,0.507825,1.67778,-1.98671,0.163917,0.340431,1.50064,0.374895,-0.563336
p10000,1.03796,-0.953961,1.39988,0.251024,0.918131,-0.675848,0.461033,-0.0735951
p10001,-0.858147,-0.490696,-0.00306547,0.34123,0.506015,-0.110593,0.379365,-0.858486
p10002,0.29115,-0.727985,-0.3436,-0.282247,-0.471902,0.173937,0.413783,-0.158887
p10003,-0.0371133,-0.692891,0.253353,-0.519793,0.227676,0.299259,0.818698,-0.949556
p10004,-0.659476,0.247455,-0.503335,1.13405,-1.15874,-1.22107,0.424861,-0.132419
p10005,-0.244386,-0.725362,0.193499,0.246019,0.290979,0.332932,0.535627,0.652905
p10006,-1.11942,0.133405,-0.182287,-0.312581,-0.958138,-0.493947,-2.17328,-1.5666
p10007,1.87671,0.366206,1.57032,0.168754,1.58473,0.273034,-2.89534,-2.46129
p10008,-0.739458,1.58534,1.906,-1.5184,-0.0840528,-1.58492,0.987947,-2.19606
p10009,0.39716,-0.829979,0.559493,0.290934,0.681008,1.14073,1.22933,0.046406
p1001,1.13474,-0.641379,0.193298,-0.438009,-0.277041,0.0752007,0.194439,0.271287
p10010,0.381395,-0.172564,-0.377814,-0.0617273,-1.31189,-0.417412,0.175479,-0.450185
p10011,1.32688,-1.08798,-0.209635,0.450074,0.784824,-0.598014,0.243493,0.446862
p10012,-0.228702,0.236557,2.03232,0.429946,-0.364357,-1.30267,-0.945227,-0.119162
p10013,-0.720927,-0.622497,0.711773,-0.391246,-0.987859,0.0740266,0.0688059,0.362543
p10014,0.729698,-1.19745,0.967016,-0.640829,-0.204268,-0.146094,0.493922,-0.525861
p10015,0.863663,-0.641412,-0.190566,0.462633,1.00523,-0.259539,0.441267,-0.383055
p10016,-1.45162,-0.0577527,-0.137201,0.212469,1.17698,0.565277,1.07118,0.0891866
p10017,-0.316949,0.0663418,-0.0395714,0.435345,-1.27479,-0.339244,-0.948719,1.69963
p10018,0.140638,0.0964196,0.233563,-2.14794,-0.583061,-1.23024,-1.14093,-4.26869
p10019,-0.886961,-0.581546,0.577913,-0.173535,0.126776,-0.176185,-0.423936,0.26327
p1002,0.962649,-0.65184,2.24368,0.980164,1.56932,2.01137,0.204327,-0.8861
p10020,2.13917,-0.853653,0.30797,0.546677,-1.57738,-0.816287,0.525266,-0.162817
p10021,2.0875,1.70578,0.541182,0.529123,3.91377,0.0466804,1.75221,-0.685594
p10022,-0.247988,2.54767,-1.22044,-0.650741,3.12763,0.124532,2.30012,1.40927
p10023,1.39661,-0.154806,-0.241631,-0.114477,-0.2258,0.808598,-0.187374,0.107987
p10024,0.0676416,-0.783814,0.313413,0.361404,-0.0417644,0.621506,-0.121761,-0.497341
p10025,-1.22481,0.996651,4.80328,-0.879271,-0.399749,3.25825,0.344319,-1.22942
p10026,0.847521,-0.18408,-0.83918,-0.136783,-0.0309525,-0.414322,-0.586196,-0.251069
p10027,0.329629,0.169533,-0.838942,-0.0511747,0.231442,-0.19484,-1.27012,0.534404
p10028,0.724064,-1.05944,-0.00316556,0.478995,0.710164,0.140796,0.13484,-0.497121
p10029,-0.29382,2.3194,2.8861,2.20042,-0.791601,-0.201787,0.189615,1.52771
p1003,0.358623,-0.538285,-0.0127314,0.237869,0.246623,-0.997696,0.175808,-1.06694
p10030,0.468877,2.137,-1.71573,-0.0564455,-0.298642,-0.974922,0.429887,0.360319
p10031,-0.461057,-0.18005,0.29028,-0.643377,-1.25264,0.113714,-0.432982,-1.06488
p10032,0.65484,-0.683306,-0.507962,-0.744878,-0.0753485,-0.676208,0.352962,0.642357
p10033,0.356996,0.849077,0.526951,-1.63606,1.45298,0.032049,-1.21122,0.363644
p10034,0.710562,2.20024,0.212936,3.46489,4.21661,2.26999,-3.3016,1.84962
p10035,0.164713,-0.826401,0.625825,-0.856289,-0.616997,1.03739,-0.505671,0.792482
p10036,-0.00639462,-1.1679,0.342228,-0.165325,-0.166697,0.347954,0.1459,0.0733537
p10037,0.00122641,0.761062,-1.43373,-0.190004,0.262807,-0.177307,-0.175333,-0.108943
p10038,0.114139,-0.217645,0.235137,-0.462664,0.216137,-1.15548,-0.777545,1.07287
p10039,0.920598,-1.17353,0.994197,0.164468,0.109511,-0.16342,-0.477261,-1.10447
p1004,0.678551,3.21086,-0.961013,2.09675,-0.273854,1.97342,-2.40413,1.01557
p10040,-0.179767,-0.893364,0.711491,-0.17365,0.457451,0.949736,0.326764,-0.115507
p10041,0.574756,-0.194204,-0.0224912,-0.613625,-1.13135,-0.396259,-0.103074,-1.75992
p10042,1.01428,0.785437,0.565656,1.18819,1.11023,-1.35696,1.12491,-1.54051
p10043,-1.28311,1.86202,-1.45464,0.172773,0.142282,-1.93242,0.958293,-0.715835
p10044,-0.345999,-0.791672,0.235891,-0.335967,0.0888249,0.0911661,-0.420834,-0.191419
p10045,-0.602506,0.901034,0.980002,-1.16567,-1.73787,3.6946,0.246544,-0.418894
p10046,0.125977,-0.64891,0.278686,0.271025,1.16967,0.727808,1.36893,1.75615
p10047,0.29136,-0.0858989,-0.425014,-0.741872,0.468416,1.07908,0.0662813,-0.591282
p10048,0.998198,-0.6654,-0.290997,-0.570312,-0.157203,0.708128,0.130693,0.594727
p10049,1.24621,-0.135067,0.927481,0.13116,-1.20854,-0.813129,-0.186945,-2.68334
p1005,0.114392,-0.372889,-0.0490845,0.641569,-0.310951,0.6804,0.46822,0.317456
p10050,-1.15736,-0.61889,0.0871832,-0.137382,-0.194552,0.132221,0.13356,-0.0896114
p10051,0.544384,-0.345579,0.331998,0.141723,0.904403,-0.781409,-0.541408,-1.00184
p10052,0.313114,-0.302694,-0.617007,0.312607,0.696773,0.288173,0.256503,-0.551891
p10053,1.95443,2.50242,0.158571,1.58585,-2.80959,0.330178,1.88126,-1.04666
p10054,0.288609,-1.2007,0.239517,-0.393925,-0.205914,-0.112731,0.0286354,1.09969
p10055,-0.380606,1.28483,-1.35846,-1.24975,-0.531458,-0.215225,-3.12481,0.811372
p10056,0.221418,1.23326,-0.157336,0.253273,0.474934,2.18295,1.08945,0.919296
p10057,1.38192,-1.37469,0.534275,-0.330727,-0.0661421,0.583193,0.271546,0.152367
p10058,-0.958723,0.298133,-1.11028,0.426515,0.56061,-0.320479,-0.34666,-0.378539
p10059,0.0625371,-0.974801,0.45843,-0.139096,-0.381121,-0.127069,0.42846,0.146503
p1006,-0.0110522,-0.263879,0.626584,0.256082,-1.96835,-1.07467,0.76171,-1.05901
p10060,-0.425634,-0.582876,0.484156,0.412721,-0.525869,0.513597,-0.0344925,-0.457314
p10061,-0.614385,0.494826,2.07561,-0.314748,1.11616,1.49887,-1.32795,1.5772
p10062,0.246826,-0.46963,-0.0903148,-0.23041,0.117877,1.36484,0.0521227,-1.42813
p10063,-1.06706,0.388482,-0.710362,0.116741,-0.315098,0.230021,-0.846365,-0.630348
p10064,0.578314,-0.894823,0.749681,0.879543,1.07959,-0.948847,-0.064396,-0.731172
p10065,-0.800714,-0.551948,0.295702,0.959027,1.65605,1.09324,-0.53731,1.12305
p10066,-0.87867,-0.430651,-0.282051,-0.041888,0.294538,0.557553,-0.06967,-0.0554565
p10067,0.00675284,-0.521434,-0.357494,-0.315903,-0.752029,0.247877,0.352724,-0.219227
p10068,0.26013,-1.0576,0.0840294,0.25957,-0.414153,-0.265926,0.583303,0.524669
p10069,-0.187206,-0.010112,2.9526,0.654474,0.653127,-0.104536,-0.165412,0.839301
p1007,1.90355,-1.14247,0.229523,-0.00848582,0.100087,0.378731,-0.0969938,-1.36647
p10070,0.185487,-0.886777,0.282837,0.465295,0.323362,0.536613,-0.601416,-0.360233
p10071,1.18737,-0.808257,0.149855,-0.0642756,-0.416886,-0.564551,0.118934,0.489418
p10072,0.282609,-0.602487,-0.00843374,-0.985459,-1.19899,0.207679,-0.149426,-0.243356
p10073,2.74217,0.476697,-1.13771,0.142018,0.369155,0.298744,1.07828,-0.656703
p10074,-0.1165,0.287351,0.0154961,1.03797,0.546678,-0.550997,0.716649,-0.775527
p10075,0.784383,-0.506207,0.424715,-0.236869,0.368659,-0.574949,-0.54374,0.157017
p10076,1.38145,0.801949,-0.970337,-0.141323,0.739308,-1.90952,0.135677,0.493255
p10077,-0.911738,-0.335571,-0.106973,0.897074,-0.514953,-0.690849,0.752118,-0.0567015
p10078,-2.06828,1.44625,3.79801,-0.46602,0.156357,0.857357,-0.217815,0.530449
p10079,0.387,-1.19876,-0.158273,0.0768545,-0.306748,-0.536857,-0.0354599,-0.377014
p1008,-0.774504,-0.350753,-0.00869146,0.475832,0.359614,0.104343,0.775924,0.0582128
p10080,0.555176,-0.708403,-0.169792,0.18753,0.570292,1.08784,0.671022,1.0404
p10081,1.52547,-0.730559,-0.597872,-0.0871461,0.644475,0.467818,0.0369244,0.0573649
p10082,0.0686697,-0.488497,-0.206858,0.0261573,-1.0694,-0.41213,-0.300439,0.422387
p10083,-0.313692,-0.162247,-0.937771,0.468926,0.23924,-0.159842,0.181473,-0.0395124
p10084,-1.61402,2.54855,3.78266,-2.67809,1.89128,-2.63107,-0.438723,-0.106153
p10085,-1.0699,-0.187123,-0.443041,0.428326,0.188219,-0.337808,-0.352764,0.0767757
p10086,0.533268,-0.048023,-0.0705721,-3.28743,-3.69306,0.169172,-2.2211,0.817541
p10087,1.12075,-1.35915,0.295365,0.274979,0.0990294,-0.604417,0.676045,0.504358
p10088,-0.925408,0.536393,-1.39188,0.402201,-0.0249686,-0.174792,-0.114429,-0.961209
p10089,-1.99776,0.373304,2.70691,-2.24407,-2.1926,0.413738,-0.409428,2.6213
p1009,-1.08801,-0.619638,0.708796,-0.0438747,-1.5917,-0.666497,-0.343552,0.477473
p10090,1.06918,0.157998,-0.722318,-0.178239,-1.2788,-0.464634,0.887495,-0.511578
