Contour,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,Mode 7,Mode 8
p0,-49.8165,-15.7309,1.37221,1.1392,7.27765,-3.57,6.88319,3.879
p1,61.6957,21.9469,32.9674,-10.2296,-10.1154,-8.73341,-17.0707,-6.61481
p10,-39.7488,-31.4955,-10.923,-17.3597,-8.82583,-10.6907,-6.68005,-3.5007
p100,32.7364,-30.0072,7.92005,7.2908,12.3922,3.57228,8.71877,-12.2389
p1000,130.33,-21.5279,-9.06292,14.7148,18.1927,4.75848,4.23,0.745976
p10000,78.7315,-38.5563,-36.76,-5.04336,-14.9379,-9.24903,-5.78694,-0.898787
p10001,-64.7415,-19.8445,-0.18369,-6.67635,-9.23442,-2.32241,-6.02608,9.10271
p10002,22.136,-29.3616,9.3753,5.64461,7.19489,1.45389,-5.90842,3.12057
p10003,-2.67246,-28.7708,-6.08881,9.49845,-6.46321,2.82766,-13.5789,1.27822
p10004,-49.7801,9.95541,12.7079,-21.4241,17.9126,-20.9812,-4.8699,4.53047
p10005,-18.3083,-29.3191,-5.14263,-4.36106,-4.57779,5.29532,-3.62206,-9.43373
p10006,-84.4634,5.52264,4.51014,7.05026,12.3018,-8.7747,25.5009,25.2199
p10007,142.217,14.873,-41.4564,-3.30736,-28.2987,6.18444,33.8444,32.1593
p10008,-55.6145,64.2296,-49.6927,31.5038,-5.16043,-26.4883,-14.4925,21.9904
p10009,30.2293,-33.3599,-14.5143,-5.93032,-9.30766,17.3943,-16.9814,-2.58535
p1001,61.7414,-35.8228,-9.32222,0.829037,2.43045,-15.413,2.67433,-4.32036
p10010,28.9672,-6.89823,10.1968,2.22585,19.6789,-8.8804,-3.01608,7.04622
p10011,100.367,-44.4628,11.492,2.84878,1.19578,-6.90647,2.52841,7.60419
p10012,-16.9857,9.71035,-54.1322,-7.38529,5.02543,-19.483,12.7998,2.57656
p10013,-54.3433,-25.2932,-18.8992,7.52951,15.2027,-3.94092,-0.165227,-3.76191
p10014,55.4132,-48.2033,-25.0005,13.2883,2.2109,-2.82765,-7.50535,5.15141
p10015,64.9298,-29.6518,12.8716,12.2632,-0.667767,-8.11479,-0.447591,-0.964723
p10016,-109.817,-4.69901,12.4833,12.2816,12.801,1.57632,-12.8218,8.65909
p10017,-23.7902,2.62,0.153391,-10.3682,20.7415,-8.46134,15.7054,-16.6554
p10018,10.7976,3.59856,-5.3789,43.7823,-0.569209,-22.734,10.008,49.3356
p10019,-66.8752,-23.4868,-14.6472,3.79964,-2.77003,-3.94389,6.71694,-0.425299
p1002,38.4896,-26.6478,-16.6113,6.89789,6.13777,15.7698,-2.34056,-11.5458
p10020,161.906,-34.3163,-8.0849,-9.22847,24.8637,-15.1239,-6.64906,3.85024
p10021,158.083,68.7135,-13.1489,-12.7689,-63.9881,2.48854,-24.0789,-1.27179
p10022,-18.7189,102.573,32.7374,8.93279,-49.3688,4.40446,-25.9698,-25.6682
p10023,105.761,-6.19124,7.17773,2.04065,4.4838,11.9293,1.3245,-0.265834
p10024,5.29328,-31.6295,-8.18813,-6.67214,0.965462,8.97534,-0.0158847,6.12901
p10025,-92.3096,40.4703,-130.141,24.0326,7.69673,39.4351,-10.8387,9.96643
p10026,64.197,-7.5085,22.3098,2.10126,-0.301939,-6.64231,7.75016,4.3874
p10027,25.1091,7.12504,22.4377,-0.405335,-1.5423,-0.577862,17.394,0.206972
p10028,54.9079,-42.8656,0.191163,-9.59157,-11.3537,2.19028,-2.95924,4.01812
p10029,-21.9485,93.934,-78.0532,-39.6469,6.1227,-9.42197,0.681407,-17.9805
p1003,-56.1469,-4.06556,18.625,-1.11369,0.36979,-1.80919,4.81394,-1.43553
p10030,35.4601,86.044,45.7162,0.293451,3.36894,-16.456,-3.68721,-5.34659
p10031,-34.6824,-7.06672,-7.48689,13.7376,17.979,-0.294426,3.82591,16.4545
p10032,49.6266,-27.6585,13.7233,13.9071,0.865346,-10.3641,-2.60345,-10.3415
p10033,27.172,34.0135,-13.2637,30.5517,-24.0839,3.5641,17.3788,-8.656
p10034,54.0177,88.7388,-6.33116,-72.0731,-58.314,43.1675,42.2103,-13.3879
p10035,12.69,-33.1031,-15.82,16.7878,11.8066,16.6837,6.23101,-6.76932
p10036,-0.281433,-46.9891,-8.86046,3.39591,3.41362,5.24241,-2.79801,0.738534
p10037,0.136076,30.5789,38.0186,2.63337,-5.11054,-3.18494,2.91513,0.92587
p10038,8.80632,-8.90176,-6.18042,8.36064,-3.14316,-15.9832,12.7202,-14.2169
p10039,69.8327,-47.2116,-25.758,-2.07406,-4.23966,-4.1033,1.80564,14.9494
p1004,-35.9015,4.64584,12.0203,-1.82001,-14.8545,-7.90736,-2.0685,4.85282
p10040,-13.37,-35.9315,-18.5391,3.26611,-6.42714,14.9393,-5.63089,1.47151
p10041,43.6371,-7.72178,1.13666,13.5956,14.6042,-8.89653,-1.62449,23.092
p10042,76.8388,31.5095,-15.4156,-22.992,-20.7769,-22.2452,-14.4799,11.6118
p10043,-96.9926,74.9546,38.2538,-3.61464,-5.97189,-31.8709,-11.5897,4.88948
p10044,-25.9711,-31.9208,-5.88599,6.56418,-0.952452,0.894944,4.48709,4.00302
p10045,-45.2688,37.0204,-24.3394,24.2719,29.5233,54.0911,-7.78553,10.088
p10046,9.69598,-26.2531,-7.17461,-4.25398,-17.5185,13.7631,-8.84613,-25.8663
p10047,22.1749,-3.4755,11.9537,13.9395,-7.86777,16.3396,-2.6515,6.56163
p10048,75.6161,-26.8123,8.36576,10.6782,3.57998,10.7764,-1.49435,-7.45486
p10049,94.4508,-5.45845,-24.2799,0.0943352,14.531,-16.1899,-1.28951,31.2443
p1005,-45.156,123.137,-185.831,47.39,46.6263,31.7973,3.02424,2.21694
p10050,-87.3443,-24.8929,-2.37802,2.7732,3.22891,1.64175,-2.07799,1.67594
p10051,41.3478,-14.1468,-8.79472,-3.04955,-16.522,-11.6186,6.57936,8.93246
p10052,23.7989,-12.3272,16.4796,-6.67351,-11.4403,4.08914,-4.66095,6.12685
p10053,147.995,101.303,-2.52885,-27.534,43.9519,-1.80675,-30.0761,17.8988
p10054,22.0208,-48.3509,-6.02911,7.35062,5.07631,-0.841704,0.87544,-12.7945
p10055,-28.5928,52.2056,36.5419,21.7883,14.0696,-2.96434,39.8304,5.49201
p10056,16.8901,49.8823,5.05631,-5.99603,-4.29541,33.5969,-14.6886,-10.8432
p10057,104.729,-55.3224,-13.4614,6.5814,2.25515,9.09269,-4.45888,-1.87791
p10058,-72.4127,11.868,29.008,-9.17905,-9.61136,-5.02018,4.44801,4.39128
p10059,4.8857,-39.5504,-11.9548,2.11103,5.19805,-4.05163,-4.87725,-3.84037
p1006,6.72521,-34.5165,3.61637,5.78576,8.94812,-0.489715,1.63057,-3.34812
p10060,-31.9809,-23.383,-12.7976,-7.29913,8.79826,6.75883,-1.22002,7.2949
p10061,-46.1239,20.0991,-54.3616,4.83261,-13.927,27.2075,17.7079,-15.497
p10062,19.3997,-21.7126,9.61716,-16.9585,2.6336,2.74986,2.91859,-5.94746
p10063,-80.5857,15.549,18.5807,-2.30901,4.21278,2.58043,10.2852,8.4044
p10064,43.9306,-36.2229,-20.1874,-17.3601,-18.3552,-13.9536,0.343564,6.96274
p10065,-60.3488,-22.4085,-8.08439,-20.4655,-22.8711,19.7252,7.60731,-15.0524
p10066,-66.2913,-17.3778,7.46769,0.333163,-4.13679,8.66611,0.34554,0.681407
p10067,0.631717,-20.9552,9.66822,6.34018,11.3985,2.06792,-4.99964,3.43867
p10068,19.8335,-42.6564,-2.14706,-4.90224,7.6499,-4.71226,-6.95738,-6.71862
p10069,-13.8559,-0.453701,-77.074,-8.86061,-15.3558,-5.72854,6.19861,-8.78074
p1007,46.8631,-33.3554,-7.59006,2.18993,-1.44694,7.25595,0.457638,6.7955
p10070,14.2168,-35.7872,-7.51952,-9.06751,-4.52042,8.47962,6.45647,4.70419
p10071,89.9344,-32.6562,-3.74273,1.3207,7.04931,-8.84708,-0.410536,-5.93617
p10072,21.5244,-24.1568,0.7428,19.9998,18.2984,1.64384,1.23542,4.89543
p10073,207.396,19.0793,30.9165,-3.35793,-6.96967,2.77117,-14.9228,6.0037
p10074,-8.68019,11.5195,-0.749882,-20.1927,-10.0513,-9.62175,-9.81233,7.18041
p10075,59.4823,-20.5483,-11.1363,4.40752,-6.11856,-7.82382,8.10593,-3.69685
p10076,104.554,32.2231,25.745,1.4049,-13.5009,-28.8881,1.26661,-9.74757
